scale,lag,correlation
100000,1,-0.046243
100000,2,0.006819
100000,3,-0.003994
100000,4,-0.003208
100000,5,0.000093
100000,6,0.005208
100000,7,-0.004683
100000,8,-0.003384
100000,9,-0.004372
100000,10,0.002932
100000,11,-0.002916
100000,12,0.002836
100000,13,-0.006345
100000,14,0.004653
100000,15,-0.003547
100000,16,0.005531
100000,17,-0.003119
100000,18,0.000340
100000,19,-0.000467
100000,20,-0.003538
1000000,1,-0.038229
1000000,2,0.009018
1000000,3,0.001247
1000000,4,0.002951
1000000,5,-0.000031
1000000,6,0.003116
1000000,7,-0.004551
1000000,8,-0.000449
1000000,9,-0.001883
1000000,10,0.000898
1000000,11,-0.004167
1000000,12,0.001832
1000000,13,-0.005026
1000000,14,0.002236
1000000,15,-0.001275
1000000,16,-0.001650
1000000,17,0.001253
1000000,18,-0.000937
1000000,19,0.001355
1000000,20,-0.004643
10000000,1,-0.032719
10000000,2,0.010464
10000000,3,0.002358
10000000,4,-0.010170
10000000,5,-0.001007
10000000,6,0.002695
10000000,7,0.001285
10000000,8,-0.002722
10000000,9,-0.000296
10000000,10,-0.002842
10000000,11,0.001591
10000000,12,-0.002277
10000000,13,0.000556
10000000,14,-0.002762
10000000,15,0.002461
10000000,16,0.000987
10000000,17,-0.002876
10000000,18,-0.003028
10000000,19,-0.001558
10000000,20,0.004784
100000000,1,-0.029525
100000000,2,0.001216
100000000,3,-0.003063
100000000,4,0.001298
100000000,5,-0.004904
100000000,6,0.002290
100000000,7,0.002421
100000000,8,0.000547
100000000,9,-0.002599
100000000,10,-0.000624
100000000,11,0.000658
100000000,12,0.008356
100000000,13,-0.001731
100000000,14,-0.003399
100000000,15,-0.005695
100000000,16,-0.000483
100000000,17,-0.000433
100000000,18,0.006839
100000000,19,0.003895
100000000,20,-0.002062
